,GOTSeason,GOTCharacter,OverallCount,NeutralCount,PositiveCount,NegativeCount
920,Season6,jory,0.75,4,2,0
921,Season6,nissa,0.0,10,0,0
922,Season4,morghul,3.52863636364,137,41,24
923,Season1,aemon,1.1,0,6,2
924,Season2,steve,16.3776094276,39,52,18
925,Season3,rhaegar,0.7,5,2,0
926,Season5,davos,-0.625,8,1,3
927,Season2,cooper,1.9,7,6,5
928,Season3,hoster,0.15,0,1,0
929,Season4,irri,-3.63333333333,16,10,19
930,Season5,spice,2.46319444444,10,7,5
931,Season5,gryff,0.425,0,1,1
932,Season1,shiera,-0.6,4,2,2
933,Season2,areo,0.433333333333,0,2,0
934,Season3,axel,-0.591666666667,12,2,3
935,Season6,loras,0.0738636363636,16,3,3
936,Season4,jasper,-0.246666666667,1,0,2
937,Season5,ch,2321.54111738,24260,16474,10909
938,Season5,rhaella,0.30625,0,1,0
939,Season1,harys,0.428571428571,4,2,0
940,Season2,robar,1.75,22,2,0
941,Season2,azor,-0.8,5,0,2
942,Season2,mern,1.0,2,2,0
943,Season3,jon,75.7556361231,835,385,245
944,Season3,danelle,0.36,3,2,1
945,Season3,beric,-0.166666666667,11,2,3
946,Season3,tristan,0.0,2,0,0
947,Season6,merchant,7.02222222222,15,19,4
948,Season5,petyr,0.653409090909,37,15,11
949,Season5,stiv,3.99439393939,112,24,8
950,Season5,shireen,6.03003787879,38,19,8
951,Season2,mero,5.76939393939,94,24,10
952,Season2,silk,2.0,4,2,0
953,Season2,connington,0.0,2,0,0
954,Season3,frey,-85.8207736344,2210,1528,1755
955,Season3,harpy,1.45119047619,1,4,0
956,Season3,wyl,2.55,6,8,0
957,Season4,great,817.835373159,53,1476,49
958,Season4,clegane,-0.725,46,5,10
959,Season4,amaya,-0.75,14,0,2
960,Season4,maron,-0.4,18,0,2
961,Season5,elissa,6.79619047619,75,28,15
962,Season3,miller,1.51626984127,26,7,5
963,Season3,bowen,-0.25,8,0,1
964,Season3,akho,0.0,1,0,0
965,Season4,brandon,-0.279166666667,14,1,3
966,Season3,will,538.832063538,3489,2524,1534
967,Season5,shae,1.91428571429,10,5,2
968,Season1,lann,3.27764911015,198,134,94
969,Season2,karsi,0.0,2,0,0
970,Season6,ros,245.831410938,3566,1141,666
971,Season1,eddard,-10.5129437229,22,6,52
972,Season1,wun,1.45,4,6,2
973,Season2,mag,159.925405844,462,521,148
974,Season6,robb,-0.72503968254,129,39,45
975,Season6,alys,12.9027477152,74,75,41
976,Season4,red,222.2673253,2159,1430,1042
977,Season4,edgar,0.0,1,0,0
978,Season6,xaro,-0.25,0,0,1
979,Season4,locke,-8.89585858586,35,19,30
980,Season5,tommen,-1.84987373737,35,12,17
981,Season1,dagmer,0.0,4,0,0
982,Season1,robin,1.0,14,2,0
983,Season3,ygritte,17.6957111407,133,68,27
